ID,Latitude,Longitude,variable,,,,
USC00065445,41.9725,-73.2208,TMIN,1884,2020,,
USC00013775,33.6483,-85.6006,PRCP,1956,2020,,
USC00065445,41.9725,-73.2208,SNOW,1884,2020,,
USC00065445,41.9725,-73.2208,SNWD,1884,2020,,
USC00013816,31.8814,-86.2503,PRCP,1892,2012,,
USC00273850,43.7053,-72.2856,SNWD,1884,2020,,
USC00013842,33.5211,-85.3806,PRCP,1941,2013,,
USC00014080,32.2467,-85.4142,PRCP,1978,2020,,
USC00404871,35.8575,-84.5278,SNWD,1884,2020,,
USC00014193,31.5253,-87.9278,PRCP,1961,2020,,
USW00093823,39.45,-87.3,SNOW,1884,2018,,
USC00196988,42.7,-72.9,TMAX,1884,2015,,
USC00196988,42.7,-72.9,TMIN,1884,2015,,
USC00014209,33.8258,-85.7811,PRCP,1948,2020,,
USC00196988,42.7,-72.9,SNOW,1884,2015,,
USC00194313,42.6408,-71.3636,TMAX,1885,2020,,
USC00194313,42.6408,-71.3636,TMIN,1885,2020,,
USC00014226,33.9047,-87.3153,PRCP,1960,2018,,
USC00014502,32.9069,-85.4336,PRCP,1944,2020,,
USC00194760,42.1633,-71.5119,WT01,1885,2020,,
USC00275712,42.7914,-71.4736,TMAX,1885,2020,,
USC00275712,42.7914,-71.4736,TMIN,1885,2020,,
USC00014619,33.5228,-86.58,PRCP,1917,2020,,
USC00275712,42.7914,-71.4736,SNOW,1885,2020,,
USC00361485,41.1922,-79.4361,SNWD,1885,2020,,
USC00361485,41.1922,-79.4361,WT01,1885,2020,,
USW00013984,39.5514,-97.6508,TMAX,1885,2020,,
USW00013984,39.5514,-97.6508,TMIN,1885,2020,,
USC00014798,32.5811,-88.1897,PRCP,1891,2014,,
USC00015121,32.4714,-87.2314,PRCP,1950,2020,,
USC00404871,35.8575,-84.5278,WT01,1885,2019,,
USC00307633,40.9586,-73.1047,TMAX,1885,2018,,
USC00307633,40.9586,-73.1047,TMIN,1885,2018,,
USC00015172,32.2603,-86.0003,PRCP,1956,2020,,
USC00361485,41.1922,-79.4361,WT03,1885,2018,,
USC00467785,39.3419,-79.6697,SNWD,1885,2018,,
USC00467785,39.3419,-79.6697,WT01,1885,2016,,
USC00196988,42.7,-72.9,WT01,1885,2015,,
USC00196988,42.7,-72.9,WT03,1885,2015,,
USC00065445,41.9725,-73.2208,WT03,1885,2010,,
USC00015354,31.9306,-88.4586,PRCP,1940,2017,,
USC00015397,32.0347,-85.4739,PRCP,1940,2020,,
USC00031838,35.2342,-93.1675,SNOW,1886,2020,,
USC00031838,35.2342,-93.1675,SNWD,1886,2020,,
USC00173046,44.2203,-69.7889,TMAX,1886,2020,,
USC00173046,44.2203,-69.7889,TMIN,1886,2020,,
